trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.9, 'e': 0.17033298882540943}",25,0,5.18980748402109,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.9, 'e': 0.16529888822158656}",30,22,15.944642172488553,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.9, 'e': 0.1604135677751728}",30,2,-19.990084827373032,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.9, 'e': 0.15567263036799733}",25,0,-15.46349532682298,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.9, 'e': 0.15107180883637086}",20,0,19.267303508840513,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.9, 'e': 0.14660696213035015}",20,12,3.137319602669696,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.9, 'e': 0.1422740715865136}",25,8,-18.441768884982572,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.9, 'e': 0.13806923731089282}",20,13,12.67596690884589,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.9, 'e': 0.13398867466880499}",20,3,17.042996205010233,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.9, 'e': 0.1300287108784259}",25,0,32.48195248668946,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.9, 'e': 0.12618578170503877}",25,0,3.0152068092018887,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
71,False,"{'a': 0.9, 'e': 0.1224564282529819}",25,5,20.17577190205827,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.11883729385240965}",25,10,22.992945866760127,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.9, 'e': 0.11532512103806251}",25,5,20.649999709611546,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.9, 'e': 0.11191674861732888}",35,13,-63.198340018570235,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 2}",1
75,False,"{'a': 0.9, 'e': 0.10860910882495801}",30,9,30.40681861366507,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.9, 'e': 0.10539922456186433}",25,0,32.59574771701179,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.9, 'e': 0.10228420671553748}",20,0,-23.035973016017536,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.9, 'e': 0.09926125155964566}",25,12,10.042595529737197,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.9, 'e': 0.09632763823049303}",30,3,-16.98691309812418,"{0: 24, 1: 0, 2: 1, 3: 2, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.09348072627805847}",20,8,22.33666356889005,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
